article_id,infraction_desc,type_article,categorie_vehicule,amende_fixe,points_retrait,mots_cles,has_sanction,has_amende,has_points
1,المادة 1 ال يجوز ءلي شخص ءن يسوق مركبة ذات محرك ءو مجموعة مركبات على الطريق العمومي ة ما لم يكن حاصال على رخصة للسياقة سارية الصالحية ومسلمة من قبل اءلدارة، تناسب صنف,autre,non_precise,,,aucun,False,False,False
2,المادة 2 استثناا من ءحكام المادة اءلولى ءعاله : 1 يجوز للمغاربة القاطنين بالخارج ءن يسوقوا، داخل التراب الوطني، خالل مدة ءقصاها,autre,non_precise,,,permis,False,False,False
3,المادة 3 يجب على الساءقين الحاصلين على رخصة سياقة مسلمة بالخارج، بعد انصرام المدة المشار ءليها في المادة السابقة، ءن يتقدموا المتحانات الحصول على رخصة السياقة المغربية، ءو ءن يطلبوا تبديل,obligation,non_precise,,,permis,False,False,False
4,المادة 4 في حالة السير الدولي ووفقا لالتفاقية الدولية للسير على الطرق، تسلم الهيءات المءهلة لذلك من قبل اءلدارة، رخصة دولية للسياقة موضوعة في دفتر خاص.,autre,non_precise,,,depassement,False,False,False
2,المادة 2 ءعاله.,autre,non_precise,,,aucun,False,False,False
5,المادة 5 استثناا من ءحكام المادة اءلولى ءعاله، يجوز للساءقين العسكريين الحاصلين على ءجازة السياقة المسلمة من قبل السلطة التابعين لها، من ءجل سياقة المركبات العسكرية :,autre,non_precise,,,alcool,False,False,False
10,المادة 10 ءسفله شريطة استيفاءهم الشروط المحددة في البندين 1 و2 من,autre,non_precise,,,aucun,False,False,False
11,المادة 11 ءسفله.,autre,non_precise,,,aucun,False,False,False
6,المادة 6 ال يجوز ءلي كان سياقة مركبة فالحية ذات محرك ءو مركبة غابوية ذات محرك ءو ءريبة لءلشغال العمومية ءو ءريبة خاصة ذات محرك، على الطريق العمومية، مالم يكن حاصال على رخصة للسياقة,autre,non_precise,,,permis,False,False,False
7,المادة 7 يحدد صنف رخصة السياقة حسب صنف ءو ءصناف المركبة التي يمكن سياقتها. ءصناف رخصة السياقة هي: ءم و ء 1 1 و ء و ب و ج و د و هـ,autre,"moto, transport_commun, poids_lourd",3500.0,,"permis, depassement",False,True,False
8,المادة 8 ال يسمح كل صنف من ءصناف رخصة السياقة ءال بسياقة صنف المركبات المقابل له فقط كما هو مقرر في,autre,non_precise,,,permis,False,False,False
7,المادة 7 ءعاله. غير ءن : 1 رخصة السياقة من الصنف هـ ج ءو ه د ، تقبل ءيضا بالنسبة للصنف هـ,autre,non_precise,,,permis,False,False,False
309,المادة 309 بعده، تخول رخصة السياقة من الصنف ي المسلمة قبل تاريخ صدور هذا القانون الحق في سياقة الدراجات النارية من صنف ء 1 1 .,autre,non_precise,,,permis,False,False,False
9,المادة 9 يجب اءلدالا برخصة السياقة ءو بالوثيقة التي تحل محلها ءلى اءلعوان المكلفين بمراقبة تطبيق ءحكام هذا القانون والنصوص الصادرة لتطبيقه، كلما طلبوا ذلك.,obligation,non_precise,,,permis,False,False,False
10,المادة 10 تسلم رخصة السياقة ءلى المترشح بعد اجتيازه بنجاح : 1 الختبار في مراقبة المعارف ينصب خاصة على اءلحكام التشريعية والتنظيمية في مجال سياقة,autre,non_precise,,,permis,False,False,False
11,المادة 11 ال يجوز ءلي كان ءن يتقدم الجتياز امتحان الحصول على رخصة سياقة ءحدى ءصناف المركبات، ءذا لم يكن مستوفيا للشروط التالية :,autre,non_precise,,,permis,False,False,False
251,المادة 251 ءدناه ؛ 4 ءن يكون حاصال على : رخصة السياقة بعد انتهاا ءلفترة االختبارية من صنف ب وءال يقل رصيد النقط المخصص,autre,non_precise,,,permis,False,False,False
12,المادة 12 يخضع وجوبا كل مترشح الختبارات امتحان الحصول على رخصة السياقة لفحص طبي مسبق، الغاية منه التءكد من ءن قدراته البدنية والعقلية تمكنه من سياقة مركبة على الطريق العمومية دون,autre,non_precise,,,permis,False,False,False
13,المادة 13 ءذا كان المترشح الختبارات امتحان الحصول على رخصة السياقة مصابا بعجز بدني ال يتنافى مع سياقة المركبات ذات محرك، ءمكن تعويض هذا العجز بتهيءة خاصة للمركبة ءو بواسطة حمل,obligation,non_precise,,,permis,False,False,False
7,المادة 7 ءعاله.,autre,non_precise,,,aucun,False,False,False
14,المادة 14 يجب على كل شخص حاصل على رخصة السياقة الخضوع لفحص طبي كل عشر سنوات. غير ءنه يجب تجديد ءلفحص الطبي كل سنتين، بالنسبة للحاصلين على رخصة السياقة، الذين,obligation,poids_lourd,,,"permis, depassement",False,False,False
21,المادة 21 بعده، ءن يءمروا بخضوع الساءق لفحص طبي دوري لفترة ءقل من ءلفترات المحددة ءعاله ءذا كانت حالته الصحية تدعو ءلى ذلك.,autre,non_precise,,,aucun,False,False,False
15,المادة 15 عالوة على ءلفحوص الطبية المنصوص عليها في المادتين 12 و14 ءعاله: 1 يخضع لفحص طبي كل شخص حاصل على رخصة سياقة ءصيب بمرض ءو بعجز منصوص,obligation,non_precise,,,aucun,False,False,False
16,المادة 16 تجرى ءلفحوص الطبية اءلجبارية المفروضة بموجب هذا القانون من قبل ءطباا من القطاع العام ءو من القطاع الخاص يستوفون الشروط المنصوص عليها في,autre,non_precise,,,aucun,False,False,False
21,المادة 21 بعده. ويقوم عند االقتضاا بءجراا ءلفحص متخصص ءو متخصصون حسب طبيعة ءلفحص ءلالزم ءجراءه.,autre,non_precise,,,aucun,False,False,False
17,المادة 17 يسلم الطبيب الذي قام بءلفحص الطبي وفق ءحكام المادتين 12 و14 ءعاله، شهادة ءلى المعني باءلمر لءلدالا بها ءلى اءلدارة المختصة، تثبت ءنه قادر على السياقة، ءو قادر على السياقة مع مراعاة التقييدات,autre,non_precise,,,aucun,False,False,False
