id,titre,contenu,categorie,sous_type_cancer,stade,ligne,mots_cles,protocole,dosage,effets_secondaires,scenario,reference
SEIN-HER2-001,Cancer du sein HER2+ — Traitement néoadjuvant (double blocage),"Le cancer du sein HER2-positif représente 15 à 20 % des cancers du sein. Il est défini par une surexpression ou amplification de HER2 détectée en IHC (3+) ou par technique FISH/CISH positive. Depuis l'étude Neosphere, le double blocage Trastuzumab + Pertuzumab associé à la chimiothérapie est devenu le standard néoadjuvant pour les stades II et III. L'étude Tryphaena a confirmé l'efficacité de plusieurs schémas avec ou sans anthracyclines en association au double blocage. Ces deux anticorps ne doivent pas être administrés en concomitance aux anthracyclines en raison du risque de cardiotoxicité ; ils sont introduits avec les taxanes. La chirurgie est planifiée dans un délai idéal de 3 semaines après la fin de la chimiothérapie.",traitement,sein_HER2_positif,localisé,néoadjuvant,HER2|Trastuzumab|Pertuzumab|néoadjuvant|double blocage|Neosphere|pCR|EC100|Docétaxel|FISH|IHC,EC100 → Docétaxel + Trastuzumab + Pertuzumab,"Option 1 : EC100 (Épirubicine 100 mg/m² + Cyclophosphamide 500 mg/m² J1) × 3-4 cycles q21j, puis Docétaxel 100 mg/m² J1 q21j × 3-4 cycles + Trastuzumab 8 mg/kg C1 puis 6 mg/kg q21j + Pertuzumab 840 mg C1 puis 420 mg q21j. Option 2 : AC60 (Doxorubicine 60 mg/m² + Cyclophosphamide 600 mg/m²) × 4 cycles + Paclitaxel 80 mg/m² hebdomadaire × 12 + Trastuzumab + Pertuzumab. Option 3 : Docétaxel 75 mg/m² + Carboplatine AUC6 + Trastuzumab + Pertuzumab × 6 cycles. Si pas d'accès au Pertuzumab : mêmes schémas avec Trastuzumab seul.","Cardiotoxicité (FE VG à surveiller), alopécie, neutropénie, nausées, neuropathie périphérique (taxanes)","Fatima, 45 ans, tumeur du sein gauche cT2N1 HER2+ (IHC 3+). Bilan d'extension négatif. Décision RCP : traitement néoadjuvant. Reçoit EC100 × 4 cycles puis Docétaxel + Trastuzumab + Pertuzumab × 4 cycles. Chirurgie à 3 semaines : réponse complète pathologique (pCR). Adjuvant : Trastuzumab + Pertuzumab pour compléter 18 cycles au total.","Guide AMFROM 2024, Cancers du Sein, Section I.A.1, p.13-14"
SEIN-HER2-002,Cancer du sein HER2+ — Traitement adjuvant post-néoadjuvant,"Après traitement néoadjuvant d'un cancer du sein HER2+, la stratégie adjuvante dépend de la réponse histologique obtenue à la chirurgie. En cas de réponse complète pathologique (pCR) : le Trastuzumab ± Pertuzumab doit être poursuivi pour atteindre une durée totale de 18 cycles. En l'absence de pCR (résidu tumoral) : le T-DM1 (Trastuzumab emtansine) est le standard adjuvant, ayant montré dans l'étude Katherine une réduction du risque de rechute de moitié par rapport au Trastuzumab seul. Le T-DM1 a l'AMM au Maroc dans cette indication. Si pas d'accès au Pertuzumab ou au T-DM1 : Trastuzumab seul pour 18 cycles.",traitement,sein_HER2_positif,localisé,adjuvant post-néoadjuvant,pCR|TDM1|T-DM1|Trastuzumab emtansine|Katherine|adjuvant|résidu tumoral|HER2,Si pCR : Trastuzumab ± Pertuzumab × 18 cycles | Si non-pCR : T-DM1 × 18 cycles,"T-DM1 : 3,6 mg/kg IV q21j pour compléter 18 cycles au total. Trastuzumab IV : 6 mg/kg q21j (après dose de charge 8 mg/kg). Trastuzumab SC : 600 mg dose fixe q21j. Pertuzumab : 420 mg q21j (après dose de charge 840 mg).","T-DM1 : thrombopénie, hépatotoxicité, neuropathie, pneumopathie interstitielle","Nadia, 50 ans, cancer du sein HER2+ cT3N2, traitée par EC puis Docétaxel + Trastuzumab + Pertuzumab. Chirurgie : résidu tumoral ypT2N1 (non-pCR). Adjuvant : T-DM1 3,6 mg/kg q21j × 14 cycles (pour compléter 18 au total). Surveillance : NFS, bilan hépatique avant chaque cycle, FEVG tous les 3 mois.","Guide AMFROM 2024, Cancers du Sein, Section I.A.2, p.13-14"
SEIN-HER2-003,Cancer du sein HER2+ — Adjuvant sans néoadjuvant préalable,"Chez les patientes HER2+ opérées d'emblée (sans néoadjuvant), le Trastuzumab associé à la chimiothérapie adjuvante est le standard depuis les 5 grands essais de phase III (>13 000 patientes), réduisant le risque de rechute et de décès de 30 à 50 %. La durée standard est de 12 mois (18 cycles). Pour les patientes à haut risque (atteinte ganglionnaire), l'ajout du Pertuzumab au Trastuzumab améliore la survie sans maladie invasive (étude Aphinity) — AMM Maroc. Le Neratinib en adjuvant prolongé (1 an après Trastuzumab) est une option pour les HER2+ haut risque (étude exteNET) — AMM Maroc. Pour les petites tumeurs pN0 < 2 cm : schéma allégé Paclitaxel hebdomadaire + Trastuzumab 1 an (schéma Tolaney) est l'option préférée discutée en RCP.",traitement,sein_HER2_positif,localisé,adjuvant,adjuvant|Trastuzumab|Pertuzumab|Aphinity|Neratinib|exteNET|Tolaney|HER2|TCH,EC → Docétaxel + Trastuzumab ± Pertuzumab 18 cycles | Option TCH : Docétaxel + Carboplatine + Trastuzumab,Schéma séquentiel : EC100 × 3-4 cycles puis Docétaxel 100 mg/m² q21j × 3-4 cycles + Trastuzumab 8 mg/kg C1 puis 6 mg/kg q21j ± Pertuzumab 840 mg C1 puis 420 mg × 18 cycles. TCH (sans anthracyclines) : Docétaxel 75 mg/m² + Carboplatine AUC6 + Trastuzumab q21j × 6 cycles puis Trastuzumab ± Pertuzumab × 12 cycles. Schéma Tolaney : Paclitaxel 80 mg/m² hebdomadaire × 12 + Trastuzumab 1 an. Neratinib adjuvant prolongé : 240 mg/j en continu × 12 mois.,"Cardiotoxicité (surveillance FEVG), diarrhée (Neratinib +++), neuropathie","Samira, 55 ans, cancer du sein HER2+ pT2N2M0 (haut risque — N+). Chirurgie conservatrice d'emblée. Adjuvant : AC60 × 4 cycles puis Paclitaxel hebdomadaire × 12 + Trastuzumab + Pertuzumab. Pertuzumab + Trastuzumab poursuivis × 18 cycles au total (atteinte ganglionnaire). FEVG surveillée avant traitement, à 3 mois, 6 mois et 12 mois.","Guide AMFROM 2024, Cancers du Sein, Section I.A.3, p.15-17"
SEIN-TNBC-001,Cancer du sein triple négatif — Traitement néoadjuvant (stade précoce),"Le cancer du sein triple négatif (TNBC) est défini par l'absence des récepteurs estrogéniques (RE-), progestéroniques (RP-) et de la surexpression HER2 (HER2-). Il survient préférentiellement chez les femmes jeunes avec une évolution agressive et un fort risque de métastases précoces. En néoadjuvant, le TNBC est chimiosensible avec des taux de pCR élevés. L'ajout du Pembrolizumab à la chimiothérapie néoadjuvante améliore significativement la pCR et la survie sans événement (étude KEYNOTE-522). Le schéma dose-dense est privilégié chez les patientes à haut risque (stade II-III) après les résultats de la méta-analyse EBCTCG (>37 000 patientes).",traitement,sein_triple_negatif,localisé,néoadjuvant,TNBC|triple négatif|Pembrolizumab|KEYNOTE-522|dose-dense|pCR|BRCA|anthracyclines|taxanes,Pembrolizumab + Paclitaxel/Carboplatine → Pembrolizumab + EC,"KEYNOTE-522 : Pembrolizumab 200 mg q21j + Paclitaxel 80 mg/m² J1,J8,J15 + Carboplatine AUC5 J1 q21j × 4 cycles, puis Pembrolizumab 200 mg + EC (Épirubicine 90 mg/m² + Cyclophosphamide 600 mg/m²) × 4 cycles. Schéma classique (sans Pembrolizumab) : AC60 × 4 cycles puis Paclitaxel 80 mg/m² hebdomadaire × 12 ± Carboplatine AUC1,5-2 hebdomadaire.","Immunotoxicité (Pembrolizumab : pneumopathie, thyroïdite, colite), neutropénie fébrile, neuropathie","Khadija, 38 ans, TNBC cT3N2M0, mutation BRCA1 germinale. Néoadjuvant : Pembrolizumab + Paclitaxel + Carboplatine × 4 cycles puis Pembrolizumab + EC × 4 cycles. Réponse à la chirurgie évaluée : non-pCR (résidu tumoral). Adjuvant : Pembrolizumab × 9 cycles + Capécitabine + Olaparib (mutation BRCA).","Guide AMFROM 2024, Cancers du Sein, Section I.B, p.17-24"
SEIN-TNBC-002,Cancer du sein triple négatif — Traitement adjuvant après non-pCR,"En l'absence de réponse complète pathologique (non-pCR) après traitement néoadjuvant d'un TNBC, plusieurs options adjuvantes sont disponibles : La Capécitabine pendant 6 mois améliore la survie sans maladie et la survie globale (étude CreateX — patientes asiatiques principalement). L'Olaparib pendant 1 an est indiqué en cas de mutation germinale BRCA1/2, ayant démontré une amélioration de la survie sans maladie invasive et de la survie globale (étude OlympiA). Si le Pembrolizumab a été initié en néoadjuvant, il doit être poursuivi en adjuvant pour 9 cycles supplémentaires.",traitement,sein_triple_negatif,localisé,adjuvant,Capécitabine|CreateX|Olaparib|OlympiA|BRCA|non-pCR|adjuvant|TNBC,Capécitabine ± Olaparib (si BRCA) + Pembrolizumab (si initié en néoadjuvant),Capécitabine : 1250 mg/m² × 2/j J1-J14 q21j × 8 cycles (6 mois). Olaparib : 300 mg × 2/j en continu × 12 mois (si mutation BRCA germinale). Pembrolizumab adjuvant : 200 mg q21j × 9 cycles supplémentaires.,"Capécitabine : syndrome main-pied, diarrhée, stomatite. Olaparib : anémie, fatigue, nausées","Houda, 42 ans, TNBC néoadjuvant traité par Pembrolizumab + chimiothérapie. Chirurgie : résidu tumoral ypT1N1 (non-pCR). Pas de mutation BRCA. Adjuvant : Capécitabine 1250 mg/m² × 2/j × 8 cycles + Pembrolizumab × 9 cycles. Surveillance : syndrome main-pied, glycémie, bilan thyroïdien.","Guide AMFROM 2024, Cancers du Sein, Section I.B, p.20-24"
SEIN-LUMINAL-001,Cancer du sein RH+/HER2- localisé — Hormonothérapie adjuvante,"Les cancers du sein RH+/HER2- représentent 65 % des cancers du sein. Ils se caractérisent par un risque de rechute faible mais persistant sur plusieurs années. Tous les cancers RH+/HER2- doivent recevoir une hormonothérapie adjuvante. Le Tamoxifène 5 à 10 ans est le standard chez la femme pré-ménopausée. Les anti-aromatases (Létrozole, Anastrozole, Exemestane) sont préférées chez les femmes ménopausées ou après castration médicale/chirurgicale. L'Abémaciclib (CDK4/6 inhibiteur) pendant 2 ans en association à l'hormonothérapie réduit le risque de rechute dans les cancers à haut risque (N+, stade II/III élevé). L'Olaparib 300 mg × 2/j × 12 mois en association à l'hormonothérapie est indiqué si mutation BRCA germinale (étude OlympiA).",traitement,sein_luminal_RH+_HER2-,localisé,adjuvant,RH+|HER2-|Tamoxifène|anti-aromatases|Létrozole|Abémaciclib|Olaparib|hormonothérapie|adjuvant,Tamoxifène 5-10 ans (pré-ménopause) / Anti-aromatase 5 ans (post-ménopause) ± Abémaciclib 2 ans,"Tamoxifène : 20 mg/j en continu × 5-10 ans. Létrozole : 2,5 mg/j en continu × 5 ans. Anastrozole : 1 mg/j en continu × 5 ans. Exemestane : 25 mg/j en continu × 5 ans. Abémaciclib (haut risque N+) : 150 mg × 2/j × 24 mois + hormonothérapie. Olaparib (BRCA muté) : 300 mg × 2/j × 12 mois + hormonothérapie. Acide zolédronique (ménopausées) : 4 mg IV q6 mois.","Bouffées de chaleur, ostéoporose (anti-aromatases), thrombo-embolie (Tamoxifène), diarrhée (Abémaciclib), neutropénie (Abémaciclib)","Leila, 58 ans, ménopausée, cancer du sein RH+ HER2- pT2N2M0 (N+ haut risque). Chimiothérapie adjuvante : EC × 4 puis Docétaxel × 4. Hormonothérapie : Létrozole 2,5 mg/j × 5 ans + Abémaciclib 150 mg × 2/j × 2 ans. DEXA au diagnostic puis tous les 2 ans. Supplémentation Ca + vit D.","Guide AMFROM 2024, Cancers du Sein, Section I.C, p.25-32"
SEIN-LUMINAL-002,Cancer du sein RH+/HER2- métastatique — 1ère ligne CDK4/6 + hormonothérapie,"Dans le cancer du sein RH+/HER2- métastatique, l'hormonothérapie est le traitement de référence en dehors de la crise viscérale ou de la maladie oligométastatique. La méta-analyse Cochrane 2003 et la database ESME confirment que la chimiothérapie n'apporte pas de bénéfice supplémentaire en première ligne par rapport à l'hormonothérapie. L'association d'un inhibiteur CDK4/6 (Palbociclib, Ribociclib ou Abémaciclib) à l'hormonothérapie est le standard actuel en 1ère ligne métastatique, améliorant significativement la survie sans progression. En cas de mutation PIK3CA (détectée sur biopsie liquide), l'Alpelisib peut être associé au Fulvestrant après progression sous CDK4/6 inhibiteur.",traitement,sein_luminal_RH+_HER2-,métastatique,1ère ligne,RH+|CDK4/6|Palbociclib|Ribociclib|Abémaciclib|Fulvestrant|Létrozole|PIK3CA|Alpelisib|BOLERO|Everolimus,CDK4/6 inhibiteur + hormonothérapie,"Palbociclib 125 mg/j J1-J21 q28j + Létrozole 2,5 mg/j OU Fulvestrant 500 mg J1,J15 puis q28j. Ribociclib 600 mg/j J1-J21 q28j + Létrozole 2,5 mg/j OU Fulvestrant 500 mg. Abémaciclib 150 mg × 2/j en continu + Létrozole 2,5 mg/j OU Fulvestrant 500 mg. Après progression CDK4/6 : si mutation PIK3CA → Alpelisib 300 mg/j + Fulvestrant. Option post-CDK4/6 : Everolimus 10 mg/j + Exemestane 25 mg/j (étude BOLERO).","Neutropénie (Palbociclib ++), prolongation QT (Ribociclib), hyperglycémie (Alpelisib), diarrhée (Abémaciclib), pneumopathie (Everolimus)","Najat, 62 ans, ménopausée, récidive métastatique osseuse RH+/HER2- (2ème localisation : foie). Biopsie liquide : mutation PIK3CA. Traitement 1ère ligne : Ribociclib + Létrozole. Progression à 18 mois → Alpelisib 300 mg/j + Fulvestrant. Surveillance : glycémie J1, J15 puis mensuelle (risque hyperglycémie ++).","Guide AMFROM 2024, Cancers du Sein, Section II.I, III.A, p.32-47"
SEIN-HER2-META-001,Cancer du sein HER2+ métastatique — 1ère et 2ème ligne,"Le cancer du sein HER2+ métastatique bénéficie en 1ère ligne de l'association Pertuzumab + Trastuzumab + Docétaxel (étude CLEOPATRA), qui est le standard mondial. Les thérapies ciblant HER2 doivent être poursuivies jusqu'à progression ou toxicité. Les taxanes sont administrés 4 à 8 cycles selon la tolérance. En 2ème ligne : le T-DM1 (Trastuzumab emtansine) a montré sa supériorité sur Lapatinib + Capécitabine (étude EMILIA). En 3ème ligne ou plus : Tucatinib + Trastuzumab + Capécitabine (HER2CLIMB), Trastuzumab Deruxtécan (T-DXd), Lapatinib + Capécitabine ou Neratinib + Capécitabine.",traitement,sein_HER2_positif,métastatique,1ère-3ème ligne,HER2+|Pertuzumab|Trastuzumab|Docétaxel|CLEOPATRA|TDM1|EMILIA|Tucatinib|HER2CLIMB|T-DXd,1L : Pertuzumab + Trastuzumab + Docétaxel | 2L : T-DM1 | 3L : Tucatinib + Tras + Cape,"1ère ligne : Pertuzumab 840 mg C1 puis 420 mg q21j + Trastuzumab 8 mg/kg C1 puis 6 mg/kg q21j + Docétaxel 75 mg/m² C1 puis 100 mg/m² q21j × 4-8 cycles puis maintenance Pertuzumab + Trastuzumab. 2ème ligne : T-DM1 3,6 mg/kg IV q21j jusqu'à progression. 3ème ligne : Tucatinib 300 mg × 2/j + Trastuzumab 6 mg/kg q21j + Capécitabine 1000 mg/m² × 2/j J1-J14 q21j.","Diarrhée (Tucatinib ++), thrombopénie + hépatotoxicité (T-DM1), syndrome main-pied (Capécitabine)","Samira, 52 ans, cancer du sein HER2+ avec métastases hépatiques et osseuses. 1ère ligne : Pertuzumab + Trastuzumab + Docétaxel × 6 cycles puis maintenance. Progression à 24 mois → 2ème ligne : T-DM1 jusqu'à progression. Progression à 8 mois → 3ème ligne : Tucatinib + Trastuzumab + Capécitabine.","Guide AMFROM 2024, Cancers du Sein, Section II.A, p.37-39"
SEIN-TNBC-META-001,Cancer du sein triple négatif métastatique — Protocoles thérapeutiques,"Le TNBC métastatique a un pronostic sombre avec une médiane de survie globale de 15 à 18 mois. Plusieurs options thérapeutiques sont disponibles selon la ligne. En 1ère ligne avec CPS ≥ 10 : Pembrolizumab + chimiothérapie. En cas de mutation germinale BRCA1/2 (testing BRCA désormais théranostique) : Olaparib ou Talazoparib en monothérapie (1ère à 3ème ligne). L'anticorps conjugué Sacituzumab Govitecan (Trodelvy) ciblant Trop-2 a montré une efficacité supérieure au traitement du médecin (étude ASCENT). Autres options : Capécitabine, Gemcitabine, Vinorelbine, Doxorubicine liposomale.",traitement,sein_triple_negatif,métastatique,1ère-3ème ligne,TNBC|Pembrolizumab|CPS|BRCA|Olaparib|Talazoparib|Sacituzumab|Trop-2|ASCENT|immunothérapie,Pembrolizumab + CT (si CPS≥10) | Olaparib (BRCA muté) | Sacituzumab Govitecan,"1L CPS ≥ 10 : Pembrolizumab 200 mg J1 q21j + Paclitaxel 90 mg/m² J1,J8,J15 q28j. OU Pembrolizumab 200 mg J1 q21j + Gemcitabine 1000 mg/m² + Carboplatine AUC2 J1,J8 q21j. Olaparib (BRCA muté) : 300 mg × 2/j en continu. Talazoparib (BRCA muté) : 1 mg/j en continu. Sacituzumab Govitecan : 10 mg/kg J1,J8 q21j (si disponible). Capécitabine mono : 1000 mg/m² × 2/j J1-J14 q21j.","Pembrolizumab : immunotoxicité. Olaparib : anémie, fatigue. Sacituzumab : diarrhée sévère, neutropénie","Zineb, 44 ans, TNBC métastatique CPS = 15, mutation BRCA2 germinale. 1ère ligne : Pembrolizumab + Paclitaxel. Progression à 10 mois. 2ème ligne : Olaparib 300 mg × 2/j (bénéfice mutation BRCA). Réponse partielle.","Guide AMFROM 2024, Cancers du Sein, Section II.B, p.38-43"
CCR-LOCAL-001,Cancer colorectal localisé — Chimiothérapie adjuvante (stades II-III),"Après résection chirurgicale complète d'un cancer colorectal, une chimiothérapie adjuvante est indiquée en stade III (ganglions envahis) et discutée pour les stades II à facteurs de mauvais pronostic (T4, perforation, moins de 12 ganglions examinés, emboles lymphatiques, MSI stable). Les protocoles recommandés de grade A sont : XELOX (Capécitabine + Oxaliplatine) ou FOLFOX4 simplifié pendant 6 mois (12 cycles). Le statut MSI (instabilité microsatellitaire) doit être évalué systématiquement : les tumeurs MSI-H de stade II n'ont pas de bénéfice de la chimiothérapie adjuvante. L'immunothérapie néoadjuvante (nivolumab, dostarlimab) a montré des résultats prometteurs dans les cancers colorectaux MSI en phase II.",traitement,colorectal,localisé,adjuvant,FOLFOX|XELOX|Oxaliplatine|Capécitabine|adjuvant|MSI|RAS|BRAF|stade III,XELOX q21j × 8 cycles (6 mois) | mFOLFOX6 q14j × 12 cycles (6 mois),XELOX : Capécitabine 1 g/m² × 2/j J1-J14 + Oxaliplatine 130 mg/m² J1 q21j × 8 cycles. mFOLFOX6 / FOLFOX4 simplifié : Acide folinique 400 mg/m² en 2h + 5-FU 400 mg/m² bolus + 5-FU 2400 mg/m² sur 46h en continu + Oxaliplatine 85 mg/m² q14j × 12 cycles. Stade II MSI-H : surveillance seule recommandée (pas de bénéfice chimiothérapie adjuvante).,"Neuropathie périphérique (Oxaliplatine, cumulatif), syndrome main-pied (Capécitabine), neutropénie","Hassan, 58 ans, adénocarcinome du côlon droit réséqué pT3N2M0 (stade III). Statut RAS muté, BRAF sauvage, MSS. 12 ganglions examinés, 5 envahis. Adjuvant : mFOLFOX6 q14j × 12 cycles. Dose Oxaliplatine réduite à 65 mg/m² après grade 2 neuropathie à cycle 8.","Guide AMFROM 2024, Cancers Digestifs, Section III.A.1, p.79-82"
